id,playerId,data,recordedAt
1,1,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""loub0t69"",""skills"":{""Magic"":{""xp"":6232897,""rank"":944314,""level"":91},""Attack"":{""xp"":5364683,""rank"":779965,""level"":90},""Hunter"":{""xp"":1422854,""rank"":668411,""level"":76},""Mining"":{""xp"":961294,""rank"":1167791,""level"":72},""Prayer"":{""xp"":999662,""rank"":1060747,""level"":73},""Ranged"":{""xp"":5234637,""rank"":1070924,""level"":89},""Slayer"":{""xp"":6062509,""rank"":472398,""level"":91},""Agility"":{""xp"":1852390,""rank"":533180,""level"":79},""Cooking"":{""xp"":13060271,""rank"":339769,""level"":99},""Defence"":{""xp"":2574692,""rank"":975024,""level"":82},""Farming"":{""xp"":14044104,""rank"":186951,""level"":99},""Fishing"":{""xp"":1009165,""rank"":1120974,""level"":73},""Overall"":{""xp"":101598100,""rank"":511822,""level"":1960},""Sailing"":{""xp"":75374,""rank"":280994,""level"":47},""Crafting"":{""xp"":1647566,""rank"":767146,""level"":78},""Herblore"":{""xp"":1797409,""rank"":607162,""level"":78},""Smithing"":{""xp"":891711,""rank"":1019373,""level"":71},""Strength"":{""xp"":13239599,""rank"":562407,""level"":99},""Thieving"":{""xp"":1284673,""rank"":743409,""level"":75},""Fletching"":{""xp"":2349295,""rank"":733579,""level"":81},""Hitpoints"":{""xp"":10085479,""rank"":812118,""level"":96},""Runecraft"":{""xp"":500089,""rank"":784404,""level"":66},""Firemaking"":{""xp"":1992163,""rank"":1055503,""level"":80},""Woodcutting"":{""xp"":4827355,""rank"":437368,""level"":88},""Construction"":{""xp"":4088229,""rank"":231839,""level"":87}}}",2025-12-11 10:16:42.416
2,5,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Zoobz69"",""skills"":{""Magic"":{""xp"":1222344,""rank"":1933227,""level"":75},""Attack"":{""xp"":5369628,""rank"":777643,""level"":90},""Hunter"":{""xp"":954141,""rank"":868876,""level"":72},""Mining"":{""xp"":1336592,""rank"":923869,""level"":76},""Prayer"":{""xp"":738911,""rank"":1431769,""level"":70},""Ranged"":{""xp"":3155251,""rank"":1324974,""level"":84},""Slayer"":{""xp"":389451,""rank"":1530770,""level"":63},""Agility"":{""xp"":1629913,""rank"":592398,""level"":78},""Cooking"":{""xp"":2288173,""rank"":913159,""level"":81},""Defence"":{""xp"":5348520,""rank"":712609,""level"":90},""Farming"":{""xp"":6517434,""rank"":472818,""level"":92},""Fishing"":{""xp"":13138845,""rank"":108745,""level"":99},""Overall"":{""xp"":60440054,""rank"":773078,""level"":1830},""Sailing"":{""xp"":409357,""rank"":176764,""level"":64},""Crafting"":{""xp"":607881,""rank"":1464901,""level"":68},""Herblore"":{""xp"":737628,""rank"":1095835,""level"":70},""Smithing"":{""xp"":747289,""rank"":1287325,""level"":70},""Strength"":{""xp"":5397962,""rank"":1168286,""level"":90},""Thieving"":{""xp"":496384,""rank"":1209419,""level"":66},""Fletching"":{""xp"":449436,""rank"":1633718,""level"":65},""Hitpoints"":{""xp"":6198861,""rank"":1086853,""level"":91},""Runecraft"":{""xp"":396365,""rank"":883545,""level"":63},""Firemaking"":{""xp"":780251,""rank"":1547818,""level"":70},""Woodcutting"":{""xp"":1655959,""rank"":908112,""level"":78},""Construction"":{""xp"":473478,""rank"":1151893,""level"":65}}}",2025-12-11 10:16:42.475
3,2,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Melburne6"",""skills"":{""Magic"":{""xp"":7031668,""rank"":890312,""level"":92},""Attack"":{""xp"":19112789,""rank"":123265,""level"":99},""Hunter"":{""xp"":7231132,""rank"":186731,""level"":93},""Mining"":{""xp"":3001642,""rank"":538033,""level"":84},""Prayer"":{""xp"":6566772,""rank"":255781,""level"":92},""Ranged"":{""xp"":18228583,""rank"":350240,""level"":99},""Slayer"":{""xp"":7929846,""rank"":378228,""level"":93},""Agility"":{""xp"":3263493,""rank"":322612,""level"":85},""Cooking"":{""xp"":13062488,""rank"":335852,""level"":99},""Defence"":{""xp"":14393164,""rank"":210110,""level"":99},""Farming"":{""xp"":22899593,""rank"":47788,""level"":99},""Fishing"":{""xp"":3601277,""rank"":483598,""level"":86},""Overall"":{""xp"":249787749,""rank"":126591,""level"":2244},""Sailing"":{""xp"":3978163,""rank"":63884,""level"":87},""Crafting"":{""xp"":13302918,""rank"":131133,""level"":99},""Herblore"":{""xp"":6560026,""rank"":219723,""level"":92},""Smithing"":{""xp"":4418929,""rank"":291578,""level"":88},""Strength"":{""xp"":17576475,""rank"":270583,""level"":99},""Thieving"":{""xp"":4082532,""rank"":372808,""level"":87},""Fletching"":{""xp"":13092568,""rank"":164899,""level"":99},""Hitpoints"":{""xp"":24965306,""rank"":292569,""level"":99},""Runecraft"":{""xp"":3322759,""rank"":265975,""level"":85},""Firemaking"":{""xp"":13036150,""rank"":373149,""level"":99},""Woodcutting"":{""xp"":5982493,""rank"":375528,""level"":91},""Construction"":{""xp"":13146983,""rank"":81667,""level"":99}}}",2025-12-11 10:16:42.477
4,4,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""JonezyAU"",""skills"":{""Magic"":{""xp"":14552445,""rank"":333746,""level"":99},""Attack"":{""xp"":13606851,""rank"":319129,""level"":99},""Hunter"":{""xp"":1224943,""rank"":740189,""level"":75},""Mining"":{""xp"":1612771,""rank"":820970,""level"":77},""Prayer"":{""xp"":1987946,""rank"":650535,""level"":80},""Ranged"":{""xp"":9194706,""rank"":767070,""level"":95},""Slayer"":{""xp"":7844985,""rank"":381377,""level"":93},""Agility"":{""xp"":1337837,""rank"":733947,""level"":76},""Cooking"":{""xp"":6517476,""rank"":574355,""level"":92},""Defence"":{""xp"":13046818,""rank"":382343,""level"":99},""Farming"":{""xp"":2992942,""rank"":706041,""level"":84},""Fishing"":{""xp"":1523623,""rank"":895513,""level"":77},""Overall"":{""xp"":136475672,""rank"":415628,""level"":2017},""Sailing"":{""xp"":92348,""rank"":266219,""level"":49},""Crafting"":{""xp"":1425096,""rank"":824733,""level"":76},""Herblore"":{""xp"":1987958,""rank"":573553,""level"":80},""Smithing"":{""xp"":873173,""rank"":1046891,""level"":71},""Strength"":{""xp"":14529493,""rank"":392941,""level"":99},""Thieving"":{""xp"":1383797,""rank"":696595,""level"":76},""Fletching"":{""xp"":13119495,""rank"":149656,""level"":99},""Hitpoints"":{""xp"":18030469,""rank"":471646,""level"":99},""Runecraft"":{""xp"":1214100,""rank"":509072,""level"":75},""Firemaking"":{""xp"":3683606,""rank"":736241,""level"":86},""Woodcutting"":{""xp"":1337378,""rank"":1045373,""level"":76},""Construction"":{""xp"":3355416,""rank"":304500,""level"":85}}}",2025-12-11 10:16:42.478
5,3,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Alexiisss"",""skills"":{""Magic"":{""xp"":13465508,""rank"":420680,""level"":99},""Attack"":{""xp"":13798132,""rank"":301808,""level"":99},""Hunter"":{""xp"":5894033,""rank"":221606,""level"":90},""Mining"":{""xp"":13651249,""rank"":87040,""level"":99},""Prayer"":{""xp"":8760615,""rank"":226793,""level"":94},""Ranged"":{""xp"":14882316,""rank"":465331,""level"":99},""Slayer"":{""xp"":2234826,""rank"":811376,""level"":81},""Agility"":{""xp"":2941037,""rank"":347561,""level"":83},""Cooking"":{""xp"":13071521,""rank"":320643,""level"":99},""Defence"":{""xp"":13727277,""rank"":257005,""level"":99},""Farming"":{""xp"":20686752,""rank"":60627,""level"":99},""Fishing"":{""xp"":7917546,""rank"":243420,""level"":93},""Overall"":{""xp"":240659371,""rank"":128229,""level"":2242},""Sailing"":{""xp"":3663976,""rank"":68288,""level"":86},""Crafting"":{""xp"":4822276,""rank"":393467,""level"":88},""Herblore"":{""xp"":9641211,""rank"":169700,""level"":95},""Smithing"":{""xp"":5317088,""rank"":247114,""level"":89},""Strength"":{""xp"":16809990,""rank"":291759,""level"":99},""Thieving"":{""xp"":7180095,""rank"":247310,""level"":92},""Fletching"":{""xp"":13029746,""rank"":289684,""level"":98},""Hitpoints"":{""xp"":20403575,""rank"":400245,""level"":99},""Runecraft"":{""xp"":2417905,""rank"":322273,""level"":81},""Firemaking"":{""xp"":5887519,""rank"":548883,""level"":90},""Woodcutting"":{""xp"":13286905,""rank"":144265,""level"":99},""Construction"":{""xp"":7168273,""rank"":161081,""level"":92}}}",2025-12-11 10:16:42.481
6,6,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""ThyJamison"",""skills"":{""Magic"":{""xp"":11680634,""rank"":564503,""level"":97},""Attack"":{""xp"":13967835,""rank"":288787,""level"":99},""Hunter"":{""xp"":7945622,""rank"":174853,""level"":94},""Mining"":{""xp"":3598268,""rank"":452553,""level"":86},""Prayer"":{""xp"":5349818,""rank"":315659,""level"":90},""Ranged"":{""xp"":16103279,""rank"":414796,""level"":99},""Slayer"":{""xp"":4702331,""rank"":559488,""level"":88},""Agility"":{""xp"":3278170,""rank"":317424,""level"":85},""Cooking"":{""xp"":13093588,""rank"":291533,""level"":99},""Defence"":{""xp"":13951941,""rank"":238540,""level"":99},""Farming"":{""xp"":10713498,""rank"":366276,""level"":97},""Fishing"":{""xp"":2723174,""rank"":597156,""level"":83},""Overall"":{""xp"":208877097,""rank"":158612,""level"":2209},""Sailing"":{""xp"":4465774,""rank"":53998,""level"":88},""Crafting"":{""xp"":3982041,""rank"":435871,""level"":87},""Herblore"":{""xp"":5467843,""rank"":279513,""level"":90},""Smithing"":{""xp"":5350577,""rank"":243422,""level"":90},""Strength"":{""xp"":20600928,""rank"":209789,""level"":99},""Thieving"":{""xp"":5915546,""rank"":316364,""level"":91},""Fletching"":{""xp"":5903093,""rank"":443585,""level"":91},""Hitpoints"":{""xp"":24518658,""rank"":301489,""level"":99},""Runecraft"":{""xp"":2354342,""rank"":326112,""level"":81},""Firemaking"":{""xp"":13057171,""rank"":278851,""level"":99},""Woodcutting"":{""xp"":6102539,""rank"":370035,""level"":91},""Construction"":{""xp"":4050427,""rank"":234109,""level"":87}}}",2025-12-11 10:16:43.195
7,7,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Chair_Bourne"",""skills"":{""Magic"":{""xp"":408668,""rank"":-1,""level"":64},""Attack"":{""xp"":258860,""rank"":-1,""level"":59},""Hunter"":{""xp"":33707,""rank"":1954764,""level"":39},""Mining"":{""xp"":410416,""rank"":1795736,""level"":64},""Prayer"":{""xp"":36692,""rank"":-1,""level"":39},""Ranged"":{""xp"":11167,""rank"":-1,""level"":28},""Slayer"":{""xp"":37016,""rank"":-1,""level"":39},""Agility"":{""xp"":9970,""rank"":-1,""level"":27},""Cooking"":{""xp"":520193,""rank"":-1,""level"":66},""Defence"":{""xp"":143652,""rank"":-1,""level"":53},""Farming"":{""xp"":1632,""rank"":-1,""level"":12},""Fishing"":{""xp"":570413,""rank"":1546342,""level"":67},""Overall"":{""xp"":5158339,""rank"":-1,""level"":1152},""Sailing"":{""xp"":295111,""rank"":194116,""level"":60},""Crafting"":{""xp"":497925,""rank"":1546930,""level"":66},""Herblore"":{""xp"":2046,""rank"":-1,""level"":13},""Smithing"":{""xp"":208875,""rank"":1794657,""level"":57},""Strength"":{""xp"":163917,""rank"":-1,""level"":54},""Thieving"":{""xp"":42166,""rank"":-1,""level"":41},""Fletching"":{""xp"":87727,""rank"":-1,""level"":48},""Hitpoints"":{""xp"":193890,""rank"":-1,""level"":56},""Runecraft"":{""xp"":6876,""rank"":-1,""level"":23},""Firemaking"":{""xp"":498895,""rank"":1792427,""level"":66},""Woodcutting"":{""xp"":671757,""rank"":1724750,""level"":69},""Construction"":{""xp"":46768,""rank"":1926858,""level"":42}}}",2025-12-11 10:16:44.451
8,3,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Alexiisss"",""skills"":{""Magic"":{""xp"":13465508,""rank"":420682,""level"":99},""Attack"":{""xp"":13798132,""rank"":301812,""level"":99},""Hunter"":{""xp"":5894033,""rank"":221607,""level"":90},""Mining"":{""xp"":13651249,""rank"":87040,""level"":99},""Prayer"":{""xp"":8760615,""rank"":226794,""level"":94},""Ranged"":{""xp"":14882316,""rank"":465333,""level"":99},""Slayer"":{""xp"":2234826,""rank"":811380,""level"":81},""Agility"":{""xp"":2941037,""rank"":347562,""level"":83},""Cooking"":{""xp"":13071521,""rank"":320645,""level"":99},""Defence"":{""xp"":13727277,""rank"":257005,""level"":99},""Farming"":{""xp"":20686752,""rank"":60627,""level"":99},""Fishing"":{""xp"":7917546,""rank"":243421,""level"":93},""Overall"":{""xp"":240659371,""rank"":128230,""level"":2242},""Sailing"":{""xp"":3663976,""rank"":68307,""level"":86},""Crafting"":{""xp"":4822276,""rank"":393467,""level"":88},""Herblore"":{""xp"":9641211,""rank"":169700,""level"":95},""Smithing"":{""xp"":5317088,""rank"":247115,""level"":89},""Strength"":{""xp"":16809990,""rank"":291761,""level"":99},""Thieving"":{""xp"":7180095,""rank"":247137,""level"":92},""Fletching"":{""xp"":13029746,""rank"":289686,""level"":98},""Hitpoints"":{""xp"":20403575,""rank"":400245,""level"":99},""Runecraft"":{""xp"":2417905,""rank"":322275,""level"":81},""Firemaking"":{""xp"":5887519,""rank"":548884,""level"":90},""Woodcutting"":{""xp"":13286905,""rank"":144265,""level"":99},""Construction"":{""xp"":7168273,""rank"":161081,""level"":92}}}",2025-12-11 10:26:36.667
9,4,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""JonezyAU"",""skills"":{""Magic"":{""xp"":14552445,""rank"":333748,""level"":99},""Attack"":{""xp"":13606851,""rank"":319130,""level"":99},""Hunter"":{""xp"":1224943,""rank"":740191,""level"":75},""Mining"":{""xp"":1612771,""rank"":820976,""level"":77},""Prayer"":{""xp"":1987946,""rank"":650538,""level"":80},""Ranged"":{""xp"":9194706,""rank"":767075,""level"":95},""Slayer"":{""xp"":7844985,""rank"":381377,""level"":93},""Agility"":{""xp"":1337837,""rank"":733949,""level"":76},""Cooking"":{""xp"":6517476,""rank"":574357,""level"":92},""Defence"":{""xp"":13046818,""rank"":382344,""level"":99},""Farming"":{""xp"":2992942,""rank"":706041,""level"":84},""Fishing"":{""xp"":1523623,""rank"":895513,""level"":77},""Overall"":{""xp"":136475672,""rank"":415628,""level"":2017},""Sailing"":{""xp"":92348,""rank"":266229,""level"":49},""Crafting"":{""xp"":1425096,""rank"":824736,""level"":76},""Herblore"":{""xp"":1987958,""rank"":573554,""level"":80},""Smithing"":{""xp"":873173,""rank"":1046892,""level"":71},""Strength"":{""xp"":14529493,""rank"":392941,""level"":99},""Thieving"":{""xp"":1383797,""rank"":696422,""level"":76},""Fletching"":{""xp"":13119495,""rank"":149657,""level"":99},""Hitpoints"":{""xp"":18030469,""rank"":471647,""level"":99},""Runecraft"":{""xp"":1214100,""rank"":509073,""level"":75},""Firemaking"":{""xp"":3683606,""rank"":736243,""level"":86},""Woodcutting"":{""xp"":1337378,""rank"":1045375,""level"":76},""Construction"":{""xp"":3355416,""rank"":304500,""level"":85}}}",2025-12-11 10:26:36.815
10,5,"{""order"":[""Overall"",""Attack"",""Defence"",""Strength"",""Hitpoints"",""Ranged"",""Prayer"",""Magic"",""Cooking"",""Woodcutting"",""Fletching"",""Fishing"",""Firemaking"",""Crafting"",""Smithing"",""Mining"",""Herblore"",""Agility"",""Thieving"",""Slayer"",""Farming"",""Runecraft"",""Hunter"",""Construction"",""Sailing""],""player"":""Zoobz69"",""skills"":{""Magic"":{""xp"":1222344,""rank"":1933240,""level"":75},""Attack"":{""xp"":5369628,""rank"":777644,""level"":90},""Hunter"":{""xp"":954141,""rank"":868880,""level"":72},""Mining"":{""xp"":1336592,""rank"":923873,""level"":76},""Prayer"":{""xp"":738911,""rank"":1431771,""level"":70},""Ranged"":{""xp"":3155251,""rank"":1324979,""level"":84},""Slayer"":{""xp"":389451,""rank"":1530775,""level"":63},""Agility"":{""xp"":1629913,""rank"":592399,""level"":78},""Cooking"":{""xp"":2288173,""rank"":913160,""level"":81},""Defence"":{""xp"":5348520,""rank"":712609,""level"":90},""Farming"":{""xp"":6517434,""rank"":472819,""level"":92},""Fishing"":{""xp"":13138845,""rank"":108745,""level"":99},""Overall"":{""xp"":60440054,""rank"":773080,""level"":1830},""Sailing"":{""xp"":409357,""rank"":176774,""level"":64},""Crafting"":{""xp"":607881,""rank"":1464908,""level"":68},""Herblore"":{""xp"":737628,""rank"":1095838,""level"":70},""Smithing"":{""xp"":747289,""rank"":1287332,""level"":70},""Strength"":{""xp"":5397962,""rank"":1168288,""level"":90},""Thieving"":{""xp"":496384,""rank"":1209251,""level"":66},""Fletching"":{""xp"":449436,""rank"":1633726,""level"":65},""Hitpoints"":{""xp"":6198861,""rank"":1086859,""level"":91},""Runecraft"":{""xp"":396365,""rank"":883548,""level"":63},""Firemaking"":{""xp"":780251,""rank"":1547819,""level"":70},""Woodcutting"":{""xp"":1655959,""rank"":908117,""level"":78},""Construction"":{""xp"":473478,""rank"":1151898,""level"":65}}}",2025-12-11 10:26:37.52
